Category,Sunlight Level,Water Level,Watering Duration,Sunlight Duration,Nutrients,Ultrasonic Values
worst case,61.68548203505282,63.08127457270321,297,82,"[8.335163636227733, 1.9738687634546315, 0.376077842584297, 4.6146584746123835, 9.321220377781449]","[76, 53, 69, 44, 92]"
worst case,24.27226772223765,56.35953455946407,70,204,"[5.232093782324024, 8.022059017419936, 8.709750633248504, 6.513134817383452, 6.974457840555049]","[45, 15, 45, 26, 15]"
worst case,43.914171499598396,58.15871200458717,248,62,"[8.740512076615932, 2.016886523765998, 2.8440184031122007, 7.643811211348741, 3.6881647472815726]","[46, 42, 64, 78, 67]"
worst case,34.94668448550361,85.8005755204979,95,265,"[4.803041493808821, 3.7941563827471736, 8.665708098568322, 1.4699100640220286, 8.000021752088408]","[51, 92, 70, 98, 29]"
worst case,6.16632602720002,32.640661852582475,211,240,"[0.8888088147186901, 7.733198206144664, 9.620064646022739, 9.72236484872602, 4.278925464048409]","[45, 75, 79, 16, 71]"
worst case,30.739748033431013,99.75900828204209,219,207,"[7.290891732904714, 5.020570294036575, 1.3991050666427118, 4.674422271791048, 5.4907590818155985]","[83, 78, 68, 54, 33]"
worst case,39.384701304390916,69.4221803106998,107,32,"[3.405959092191667, 2.333364793607614, 4.1951949173292, 5.322528350361228, 0.05862330299887364]","[14, 95, 72, 14, 84]"
worst case,5.185306088362518,49.32646821718967,33,119,"[4.725725775403867, 5.524496939802602, 9.435961528596007, 1.1198189859338403, 9.51439536284781]","[88, 93, 53, 91, 62]"
worst case,24.96576016222075,74.34007849093256,124,116,"[3.1356608659291982, 8.197858397687094, 1.1375530843275516, 2.4267835743736144, 1.2726444046170904]","[92, 97, 35, 17, 94]"
worst case,60.04993723039056,81.02154489898051,204,18,"[1.5912392905810935, 9.908548701581967, 8.462392955830339, 2.9767670472633645, 5.943887481084231]","[70, 62, 52, 92, 71]"
monitoring sunlight,48.44991416127995,67.72406280307945,139,105,"[8.216500453437208, 5.883260789764355, 8.688956224183897, 0.5481905373096108, 4.447454852413486]","[80, 47, 69, 24, 31]"
monitoring water level,51.889624510450396,80.16838943038606,214,140,"[2.2679879691723634, 7.079609632471843, 9.62286016511597, 2.0946655552435667, 4.134072189091823]","[82, 33, 54, 79, 59]"
monitoring watering duration,40.645017739680945,61.04405484752803,190,109,"[6.159186769522319, 3.1928537984924565, 3.8180529384645965, 2.8549704616136173, 9.205757305076846]","[30, 77, 94, 72, 32]"
monitoring sunlight duration,11.857948104400828,20.193641323806155,32,237,"[2.311342754711714, 0.9996479019150373, 9.62404748704905, 6.894514006323944, 4.266638187423371]","[92, 82, 68, 49, 31]"
monitoring nutrients,74.39116251198273,13.071452704415364,252,208,"[3.2961042260009044, 9.818203784076593, 0.16052571210184663, 9.83260483872721, 6.941963226697717]","[13, 80, 67, 26, 34]"
general monitoring,70.4944759508697,95.72348429521192,195,232,"[7.2148990340011085, 9.630473031333706, 3.521721396217685, 6.842934332575138, 2.4084430282728766]","[73, 64, 13, 76, 85]"
general monitoring,49.87674347663076,97.2155149719512,125,38,"[0.9231799459333034, 4.285627294175289, 3.6595567060101875, 0.0018288978068281558, 9.113611771663532]","[32, 77, 68, 61, 24]"
general monitoring,12.041824556037506,7.428696847604977,13,202,"[4.380495871521804, 4.188014842252831, 5.430346520385587, 1.7591133879662102, 7.627576160499064]","[69, 25, 89, 69, 19]"
general monitoring,69.1730897898451,9.226866600297212,221,67,"[0.5758736550784493, 9.046491914571622, 8.525141152893966, 1.060263054016638, 7.830247110941967]","[15, 36, 59, 38, 32]"
general monitoring,22.274853210212363,66.65701507496465,99,253,"[2.220447254803264, 3.2918602869013016, 5.064669749168597, 8.989344517808206, 7.141243263402464]","[80, 21, 42, 24, 55]"
monitoring sunlight,13.585199128256543,78.97886668381065,193,146,"[4.513930589657469, 3.1777978941475427, 5.1670412776045875, 3.668437462741311, 5.164230156728751]","[29, 45, 59, 95, 62]"
monitoring water level,35.95167444565932,30.33194071070795,296,219,"[6.5617262932748055, 1.0838483978865054, 9.281074417193688, 7.0565251595317955, 4.151703787797216]","[61, 58, 23, 48, 20]"
monitoring watering duration,62.82121810002382,50.38506038579443,164,198,"[6.049834200317736, 0.509565761339501, 3.4770689918411444, 6.145229533714273, 9.16663388882069]","[28, 67, 82, 21, 52]"
monitoring sunlight duration,10.406163406629199,72.23847817169855,83,178,"[9.335411875652222, 4.343138731067976, 8.951433795603943, 4.187462592808044, 5.771068107681279]","[91, 14, 96, 50, 65]"
monitoring nutrients,22.344141919384487,10.323417784606924,215,205,"[6.579725471190497, 1.166606950314335, 6.820561706645382, 5.317144162112465, 5.497706961002312]","[35, 76, 91, 69, 69]"
general monitoring,16.049854259209628,56.48665906399675,282,296,"[3.2814891729382287, 4.685137329047512, 2.4320507340718924, 9.56454714583321, 9.575025996543701]","[69, 32, 98, 68, 88]"
general monitoring,64.575514571489,43.058184484826754,50,184,"[2.556301504534214, 3.0631890650049263, 0.4937870121190657, 1.0090192015251709, 2.411355653034807]","[18, 27, 83, 76, 27]"
general monitoring,73.27881388753298,77.24673353602518,140,270,"[5.360856119823477, 6.321765844816348, 9.993596044209447, 9.353166569731536, 8.476149156220163]","[71, 88, 38, 96, 84]"
general monitoring,7.332469615980875,45.20298750147263,134,274,"[8.936013380297158, 9.108765844476919, 0.9997590322860839, 3.1146347100129623, 2.1075026463015742]","[56, 66, 15, 16, 35]"
general monitoring,81.78697259530578,73.2339365339299,136,297,"[4.293299795907527, 3.4455235111995286, 2.2914312627884845, 4.797752186237726, 6.397523571540209]","[64, 95, 99, 63, 96]"
monitoring sunlight,49.281857397460506,41.31615412003485,280,90,"[0.32880887290415495, 4.9885967215032645, 5.378546505745331, 3.3600391201028748, 2.9239155199980047]","[93, 66, 38, 67, 71]"
monitoring water level,91.92530950661225,61.24228810701494,164,94,"[5.569459449522607, 1.834163688429582, 8.52460998900882, 2.1455046221510052, 7.105413572248952]","[68, 46, 42, 62, 95]"
monitoring watering duration,64.84503773866355,81.86132597215475,130,252,"[4.636561349607381, 7.853005001246435, 3.284189194657663, 5.979190565397792, 6.524414569875482]","[26, 87, 57, 23, 58]"
monitoring sunlight duration,3.382817115024428,88.93678750304763,31,86,"[4.2484451309163065, 1.621132263595606, 0.8040128772399913, 6.2142324894219705, 5.048179398382904]","[61, 86, 42, 38, 95]"
monitoring nutrients,55.99239039925493,94.09756022067407,162,183,"[8.213562163556007, 5.714146878495129, 2.4029032844066043, 9.803305190680629, 0.20616080037164863]","[73, 44, 63, 23, 75]"
general monitoring,46.62001718722863,32.83667810970052,277,165,"[0.8853737864233746, 7.368240059484395, 6.932714173951614, 3.1553725513758355, 1.1503137028098809]","[76, 63, 33, 15, 76]"
general monitoring,74.11017298962047,34.09888643798358,224,253,"[6.15467402657629, 8.500547733371578, 0.5799747925444898, 2.154653660996906, 4.441759565585468]","[22, 74, 69, 73, 72]"
general monitoring,47.07138686382948,12.725029913003539,161,136,"[2.047907003108338, 7.297700849940533, 5.668750468814652, 0.03327776716389064, 9.024122805838285]","[93, 70, 58, 65, 65]"
general monitoring,98.80441626429632,36.26067026812709,259,294,"[7.941149487973549, 4.577585244894495, 6.493842018818884, 0.8806359204770531, 8.339288960207575]","[25, 23, 50, 63, 56]"
general monitoring,85.11417789518622,74.84729003283205,153,215,"[5.1470157475393785, 6.807957669439212, 6.166332682521343, 1.1365318853602557, 4.325384984327955]","[37, 32, 86, 14, 79]"
monitoring sunlight,32.69382214375183,66.19129549057455,78,112,"[6.078147135290587, 8.557119485310547, 9.831412981806633, 8.63063048182046, 8.179022391618071]","[51, 14, 77, 27, 18]"
monitoring water level,93.25272444189248,33.33190468563766,168,289,"[3.447578941681615, 0.517455650362415, 9.702829362152034, 8.405082373454949, 9.034855170619963]","[69, 63, 15, 15, 84]"
monitoring watering duration,81.809431436923,95.14449945632397,144,105,"[8.290749720261793, 4.460331497128794, 2.5448395339766128, 2.9759161291265643, 8.455373850187497]","[50, 44, 64, 49, 11]"
monitoring sunlight duration,62.23126724707886,78.42522652785107,73,97,"[5.908969796881655, 1.0712665058022375, 6.690861513623223, 6.343101453480726, 8.448280212427404]","[18, 37, 48, 80, 90]"
monitoring nutrients,7.5616418431626915,99.22106274670287,243,176,"[9.68146279022435, 2.2080278740764925, 9.589291680659942, 2.424801620466223, 7.258849017202471]","[94, 61, 33, 29, 78]"
general monitoring,39.17621849735515,93.41328608274429,199,236,"[2.5457347480985106, 4.670242904266915, 6.500036288148937, 8.659071541795003, 9.463256340123227]","[46, 66, 45, 75, 78]"
general monitoring,43.08304266979414,88.41308472411652,99,156,"[4.226906382893815, 5.785263620914068, 6.196214207661103, 1.8580197326717696, 7.057417448703326]","[11, 64, 21, 77, 64]"
general monitoring,62.37218685495286,13.524046898933662,64,257,"[3.2691624078141035, 6.9003893652107955, 6.9663206495486065, 8.394197232934802, 3.224145625272321]","[62, 15, 26, 20, 69]"
general monitoring,14.586226100427913,63.51848190649415,160,61,"[3.6374067650042283, 4.4241682129828455, 5.955996492465678, 8.445074476359816, 6.606152645165745]","[14, 69, 86, 26, 84]"
general monitoring,29.98486742419302,20.657592542456182,279,296,"[2.592446316830838, 0.9565351250647902, 8.818522662891063, 4.935574768706628, 8.759317373792058]","[23, 27, 73, 23, 15]"
monitoring sunlight,30.850441460190915,43.71881887623446,68,34,"[1.2127446427563615, 3.2947092226787023, 6.2965045452277, 1.69161525923611, 1.57192800335188]","[12, 97, 18, 53, 37]"
monitoring water level,37.80018550844042,75.34908588271065,78,124,"[9.178450186492986, 9.646252916979032, 8.817375315220254, 0.8929402665027109, 8.001897296850018]","[85, 27, 27, 19, 94]"
monitoring watering duration,33.41082468819951,97.7581263778823,278,119,"[2.192790196954426, 4.396255285207969, 1.9309239436761483, 0.3705240473557825, 9.175435360317062]","[62, 72, 32, 69, 10]"
monitoring sunlight duration,3.803236288744971,11.01845244939944,278,159,"[0.04551195215085069, 6.9480583145078, 3.923606227151877, 2.1947456844897006, 6.162752733068438]","[64, 50, 63, 46, 56]"
monitoring nutrients,92.66119400917633,8.891139807549852,103,234,"[1.9960385405650738, 9.121423105880472, 7.801210607548986, 9.581042236467072, 0.44827179326868083]","[82, 39, 16, 81, 66]"
general monitoring,0.8575888592812775,84.94788183458586,97,198,"[3.809921209071978, 5.330398625305901, 7.055182224983991, 5.14718803670883, 0.8868513994149185]","[87, 49, 68, 74, 79]"
general monitoring,93.2758668076793,71.98385267024369,140,48,"[3.0397582025678584, 0.2661192121045808, 0.8866787295475953, 9.762428329717576, 7.615490964473053]","[65, 11, 29, 87, 72]"
general monitoring,31.766796203640048,60.105788727174,178,236,"[6.1788471962711755, 4.655054076191939, 1.2504296007323423, 5.893475851851399, 0.6081489807230844]","[68, 77, 98, 94, 39]"
general monitoring,81.1188557166631,98.06434639257166,254,20,"[9.250441076470215, 9.421554517571542, 0.6880092264939541, 6.166697288480961, 9.445449408790918]","[10, 42, 50, 14, 14]"
general monitoring,87.22444978948343,52.02899000231028,201,298,"[2.7580408512721877, 4.2872427076374215, 5.690074734794786, 7.668657804294869, 7.729770530317542]","[13, 11, 23, 53, 74]"
monitoring sunlight,50.11438009598442,8.25174801142804,141,129,"[1.2467373722959085, 3.8671220032723044, 1.1936081056442238, 0.8364742009566217, 4.407994338078925]","[83, 29, 69, 43, 35]"
monitoring water level,38.41415297424873,70.4388662206866,48,253,"[9.162824207722526, 9.825832675939841, 8.709053609565638, 0.5890880251733199, 2.6119139919720036]","[95, 41, 96, 64, 41]"
monitoring watering duration,53.8903466372952,21.261484843757817,77,107,"[9.027856696938102, 2.3355575332435063, 5.911471750494607, 9.822530803276297, 0.7960283669487678]","[33, 76, 17, 70, 69]"
monitoring sunlight duration,72.46836213871872,34.75927044367493,114,135,"[6.5167494518849605, 4.479300319837616, 4.6589235038506445, 2.9469911794886117, 8.70704243283814]","[100, 69, 46, 19, 75]"
monitoring nutrients,6.704115328997251,5.495743557464228,128,12,"[2.184492237087788, 0.35380380677941803, 6.977805177843772, 4.4189557285958205, 6.985969114055761]","[28, 57, 42, 43, 72]"
general monitoring,87.59388867474823,89.0727945444192,126,94,"[3.509426008264299, 8.288702907642696, 5.6860112926940385, 9.977864028426769, 7.29819047469719]","[96, 71, 96, 82, 44]"
general monitoring,57.08042995617023,70.28358485805599,46,257,"[7.957603756452355, 5.648123519827798, 6.566178002004878, 5.466267871431053, 3.0340466871773253]","[43, 54, 15, 37, 52]"
general monitoring,3.619567121225842,28.029230969020137,131,277,"[2.1306977584541595, 9.780626836632358, 4.799132866592888, 8.332648680434572, 1.1370972970867077]","[22, 28, 37, 54, 16]"
general monitoring,54.0812364731426,39.06726471926706,208,205,"[0.7012993373499321, 5.435928902887337, 7.403763159751783, 0.3115492613284654, 2.790786073871856]","[98, 26, 70, 93, 44]"
general monitoring,3.9115950758076834,20.43798728679189,200,77,"[7.530768359753457, 4.164237312612813, 1.1511973857406277, 9.440910780244597, 4.91006966607223]","[69, 25, 72, 55, 93]"
monitoring sunlight,15.93270276596197,58.39662191686419,260,104,"[9.1560112788076, 7.476306586312385, 3.2389095057040818, 7.8562321890232365, 8.953295123264732]","[20, 14, 60, 72, 27]"
monitoring water level,10.547176741792597,25.856713770986172,166,134,"[8.638908474413313, 4.127896303970182, 7.951428425468866, 4.150592303871187, 9.442409890854824]","[83, 88, 80, 69, 58]"
monitoring watering duration,16.986378028673233,18.04040092080331,35,258,"[5.545546829154611, 3.7309310749707505, 3.3677514871464997, 0.4836738212754865, 9.20718355157241]","[29, 86, 71, 58, 35]"
monitoring sunlight duration,71.31407767260286,80.33289895805477,36,55,"[1.1723628145683251, 4.768796965114804, 3.629901283029917, 4.75227823147975, 3.7946034944658913]","[65, 45, 78, 11, 58]"
monitoring nutrients,30.24856462355292,36.49843887938481,181,290,"[8.033910788893815, 3.1891070908532235, 8.409319492463936, 8.337174711331764, 6.905865291089071]","[34, 89, 56, 10, 84]"
general monitoring,74.60685750917482,73.6768867817385,94,235,"[3.2936202667619496, 7.682201312776053, 0.35386787896323546, 1.297436049996188, 0.1348439258760159]","[18, 81, 60, 70, 91]"
general monitoring,36.17823360192136,29.7689130592515,133,270,"[6.715096886574602, 2.621884475786387, 8.896934596282225, 5.267227417011179, 9.205052281146317]","[12, 85, 100, 61, 41]"
general monitoring,51.01607792653794,99.32432245973396,286,19,"[9.984519192230094, 7.940442833620179, 2.7404002186733867, 8.739506097704915, 7.691428711707601]","[99, 89, 94, 37, 11]"
general monitoring,45.30044867076843,68.97420488551211,113,53,"[6.9210975688960765, 3.659504576762602, 4.562099753615847, 9.245398244132659, 5.096568842462556]","[89, 42, 53, 44, 99]"
general monitoring,96.7558321834145,35.95508301997542,72,186,"[7.250980600342173, 7.2089895499692345, 9.747651321517141, 1.3275802327978636, 2.557577291986921]","[61, 96, 84, 67, 12]"
monitoring sunlight,43.91808952013131,1.092531228080884,131,243,"[8.653778246408, 4.409410719509047, 2.594947492461066, 1.3485662727417724, 3.744147824569004]","[22, 49, 11, 94, 70]"
monitoring water level,18.181938661910447,27.455197975665946,283,69,"[8.995726525613726, 9.627281954193446, 0.44927344880998366, 3.0839463157434044, 6.229131513180127]","[16, 82, 98, 73, 76]"
monitoring watering duration,19.293796755588154,50.794319949682496,19,170,"[3.901226333825627, 5.083747408394882, 0.004410849799563188, 8.569721839579765, 4.86953278429247]","[73, 17, 26, 63, 92]"
monitoring sunlight duration,32.97450213167832,1.1439424214661154,225,54,"[9.554781509317264, 5.590771557392163, 2.5707236145868437, 1.40309301166886, 7.7123535849870395]","[24, 63, 38, 14, 49]"
monitoring nutrients,23.39279716212492,95.37241615269232,72,29,"[5.3625876370313295, 8.863470070473232, 4.068666055983777, 3.6284126430688524, 9.05741652613915]","[20, 56, 66, 26, 17]"
general monitoring,25.29972586865191,8.104310337215415,67,240,"[3.181471453254102, 8.504785400971885, 3.5560039562578085, 1.400385395127206, 5.09845986277168]","[25, 21, 88, 25, 96]"
general monitoring,95.34427863735189,70.42940787273753,51,129,"[2.596936131761405, 1.9686740432178418, 1.66985925155142, 1.220768997129782, 6.018276496446735]","[19, 87, 36, 73, 46]"
general monitoring,50.17599459799662,59.58987202845459,216,247,"[9.859975240137311, 5.018161220220127, 6.938719406504507, 2.7733602557389645, 1.9085888905987192]","[10, 81, 50, 29, 94]"
general monitoring,62.654591744576834,58.54502934624084,88,89,"[7.895365393083057, 3.327518595797293, 9.306547540696524, 8.691172685419309, 0.5977300272292929]","[42, 81, 96, 23, 79]"
general monitoring,75.28402654591024,11.387175786355531,82,55,"[9.563527989276578, 3.093249815318597, 2.385458004258548, 3.9660377466323684, 0.8400246683618084]","[31, 54, 87, 26, 18]"
monitoring sunlight,28.843998315889785,88.79090323166226,58,72,"[0.7545376786419489, 7.196901353853389, 7.7278533666749425, 6.953844437713423, 0.5685350086818408]","[94, 75, 48, 64, 44]"
monitoring water level,61.99961281985379,38.498503803546036,37,242,"[1.8095906327177813, 3.8265190801280946, 8.343402174607172, 8.238129319649286, 6.659324223261286]","[63, 25, 67, 22, 15]"
monitoring watering duration,57.42570148544978,75.67793265106948,299,222,"[8.114094760120595, 6.918940938399121, 7.804383223218224, 4.108251044877891, 1.8705649777174305]","[44, 62, 94, 38, 70]"
monitoring sunlight duration,41.18511601114332,51.8017684323516,212,102,"[7.833908378088447, 2.044423156138422, 7.068204778870834, 2.994962399775687, 8.977821938707182]","[14, 23, 79, 64, 34]"
monitoring nutrients,65.0409480478486,23.058355525809237,144,243,"[5.133690517340799, 0.3359420394044532, 2.8979279694326388, 4.197056889189516, 9.917388786924487]","[68, 20, 82, 80, 89]"
general monitoring,56.09748150164218,73.07661445833936,260,53,"[2.262352645199839, 5.087171287130601, 4.648714479567886, 4.7203752288336664, 5.220769614615367]","[96, 18, 83, 99, 34]"
general monitoring,85.39291864669272,67.04094665104617,270,45,"[1.9066872360410825, 7.892900200816669, 8.080889025324549, 1.8322824813625704, 0.32089060503665223]","[83, 97, 100, 28, 26]"
general monitoring,31.48979296927771,78.7988661577607,209,225,"[1.9646716962418986, 2.2975963741827754, 5.171289833797573, 5.858084759192951, 1.9005767030288379]","[38, 45, 97, 68, 63]"
general monitoring,13.071422303986612,23.01753307530019,188,286,"[8.784127372928953, 9.724325199604143, 0.13141453294895133, 8.183991402832467, 0.6219251723438335]","[39, 29, 31, 23, 30]"
general monitoring,19.755321449813025,26.63573592342079,278,186,"[6.940942851139056, 9.18552061634293, 2.7792346574168683, 8.456535774466971, 8.534004985555615]","[81, 78, 13, 81, 32]"
monitoring sunlight,14.333772604304528,20.18731510587677,189,151,"[7.3371972717095435, 0.5307587174210804, 1.9766544316781298, 7.7846231133417545, 1.972048630716856]","[75, 26, 24, 45, 62]"
monitoring water level,24.68450101482562,29.391017464153347,144,79,"[6.340138996217393, 3.9380911002846766, 1.0567240827395186, 0.6336929749062659, 0.1975752375658113]","[70, 76, 90, 32, 19]"
monitoring watering duration,52.76775589202261,35.47387330007602,293,83,"[3.919253933579233, 7.660696371427864, 7.959822227451201, 0.2609423597976357, 9.387396478648611]","[81, 31, 52, 42, 61]"
monitoring sunlight duration,78.48663075486807,63.77441471414481,77,155,"[9.186759483841145, 3.1936617562947633, 9.726912452243418, 3.8229907359202597, 2.990171923948486]","[91, 52, 17, 31, 11]"
monitoring nutrients,68.78896725639846,0.3367011327033653,151,89,"[3.9645298864137035, 4.638029700063841, 3.0546786410799873, 4.559172852162394, 7.57222664637465]","[74, 66, 34, 69, 76]"
general monitoring,90.3039191639348,71.94480680603506,34,174,"[4.253261747140126, 5.994600190134607, 2.509755430611744, 5.1668835838561105, 7.6296723377312645]","[19, 72, 36, 21, 72]"
general monitoring,8.59702703647348,45.12424993785768,116,170,"[6.633756482590375, 4.847059444580517, 9.253993079568072, 9.733810643848212, 5.612430921533588]","[73, 95, 50, 98, 26]"
general monitoring,68.83645391632622,51.93737167730108,298,215,"[7.269297400795738, 6.925216591146998, 8.136260783957148, 1.6309224914331122, 8.962266740322598]","[11, 100, 92, 38, 87]"
general monitoring,3.875289331147047,37.514218931646134,178,23,"[8.82317123854461, 3.594749401397952, 8.815344896507295, 4.519124794267984, 0.9210665628313086]","[37, 98, 28, 36, 72]"
general monitoring,9.127877854302413,47.92002408479667,139,45,"[6.043439388465558, 6.743655042590281, 2.651934355275757, 1.1432453061657033, 8.790721310050277]","[21, 90, 15, 88, 97]"
monitoring sunlight,19.290228896990026,23.87689379312755,213,171,"[7.19743247594457, 9.268512572807795, 8.832592576419785, 2.638643026480678, 3.949097679980672]","[71, 79, 96, 20, 43]"
monitoring water level,91.85286223991889,60.99745730022328,126,272,"[5.466769142405038, 0.5240571332804544, 4.441708981455558, 4.385983885280273, 5.321087330587925]","[14, 34, 56, 35, 10]"
monitoring watering duration,43.40252368941179,11.550859614359354,34,192,"[1.9184143804187948, 0.42206412551757166, 6.7284915498114115, 0.8804522839642936, 0.9040595350829717]","[93, 11, 96, 75, 83]"
monitoring sunlight duration,88.03112276028261,53.472705481049466,65,59,"[8.516586280724034, 1.9804285324239923, 0.29065719286129665, 7.686212639901386, 6.732431584262187]","[41, 15, 93, 31, 48]"
monitoring nutrients,18.818221772204236,9.85685480524985,22,79,"[1.7698467976180299, 6.96778271651827, 0.5892874793993907, 5.794209932245486, 1.7469796117754788]","[31, 99, 70, 45, 84]"
general monitoring,54.07274387631252,40.21237172437888,88,121,"[4.611765514259254, 6.065814976679582, 8.046180684514773, 2.5732374415309356, 9.05910733687903]","[77, 45, 83, 99, 62]"
general monitoring,34.754333547594726,26.945576261784076,146,16,"[3.246891781913556, 7.346769175831303, 3.446426727219448, 4.364341010155869, 0.24366493506992604]","[50, 59, 20, 96, 65]"
general monitoring,21.957274002450855,23.5785116347211,151,183,"[7.78726087696106, 1.614887072010155, 8.632416265293823, 8.943969931454175, 1.6682242521757473]","[51, 65, 12, 84, 59]"
general monitoring,20.32340582152009,72.18604283016356,142,276,"[4.755281814642927, 7.342080795890432, 0.9623079965072345, 7.120359045304232, 3.0350079994295442]","[93, 85, 76, 64, 67]"
general monitoring,9.699006375193786,57.38960742899108,50,141,"[4.737415509292311, 2.4932259599773987, 9.015996685743685, 1.0448949433648635, 8.111386925920703]","[90, 99, 14, 30, 97]"
monitoring sunlight,19.21228038246262,66.37935047998312,189,165,"[1.145157135445597, 4.761056398604714, 4.547517109215531, 3.764693592338194, 4.193988849870705]","[98, 71, 98, 17, 64]"
monitoring water level,46.079891456776565,38.25458496379572,14,148,"[8.108656484354341, 3.5874401615471596, 0.0005899759703020813, 6.657772580312239, 7.116093542153342]","[99, 53, 91, 34, 39]"
monitoring watering duration,91.64936414613591,61.50505051039842,229,166,"[5.802942576839941, 0.44206322115554086, 7.111837498020063, 7.546246929383789, 2.8237001203505585]","[85, 31, 41, 67, 95]"
monitoring sunlight duration,39.941280990929485,16.349885165251766,273,246,"[5.398925839783294, 1.1477588243016257, 5.9530831430917, 3.028447589582013, 8.823961421312283]","[81, 76, 56, 73, 42]"
monitoring nutrients,85.80679626258365,6.123247370877505,205,169,"[4.962658898137108, 1.0366058917269194, 3.0662972634910055, 3.2813484241055626, 1.6488150090315379]","[78, 69, 16, 90, 73]"
general monitoring,84.58095205986224,49.39996049692156,208,74,"[5.455708519540883, 9.06835907486594, 6.106629000803671, 3.932408599766374, 9.117135413443]","[68, 17, 77, 90, 71]"
general monitoring,54.388063523960184,96.21859243621907,243,43,"[4.9247748448157065, 4.578704066814174, 4.078852308063613, 2.1068100470401028, 5.628401185923627]","[34, 86, 78, 39, 25]"
general monitoring,84.27354537090659,14.31335144349617,260,30,"[5.973660982519238, 0.26526247926976, 8.587000032733744, 4.162006130149884, 6.6848366526436624]","[38, 84, 34, 87, 16]"
general monitoring,43.53391311655839,63.51762182336089,239,238,"[6.337671304212689, 3.301725860405896, 0.2124970619502342, 2.397701002876891, 3.528777275750886]","[70, 99, 17, 25, 81]"
general monitoring,47.13500356453574,45.47411700937367,20,154,"[9.203318462831357, 7.176450167479802, 2.177435968468587, 7.710329109895549, 8.405499037655682]","[89, 92, 13, 58, 58]"
monitoring sunlight,19.392938270997952,82.99653973699995,206,165,"[3.7599144398895943, 1.8809270872942385, 2.950015696198758, 4.9794581785324175, 1.7384044505058172]","[92, 97, 76, 61, 20]"
monitoring water level,27.10520247335485,97.0960839362809,159,299,"[9.63837995236082, 0.25977366614893804, 1.7338885484111377, 0.3617061040358094, 4.788518823364126]","[80, 67, 43, 35, 32]"
monitoring watering duration,14.408979972008684,86.52215901207921,272,244,"[4.206516369026273, 2.9878761697658716, 8.535137556064058, 2.0374535623679755, 0.13740241145927645]","[30, 13, 97, 51, 63]"
